Symbol,Company,Sector,Industry,Date added,Founded,City,State/Country
CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04,1806,New York City, New York
CMCSA,Comcast,Communication Services,Cable & Satellite,2002-11-19,1963,Philadelphia, Pennsylvania
CMA,Comerica,Financials,Diversified Banks,1995-12-01,1849,Dallas, Texas
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31,1919,Chicago, Illinois
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04,2002,Houston, Texas
ED,Con Edison,Utilities,Electric Utilities,,1823,New York City, New York
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01,1945,Victor, New York
COO,CooperCompanies,Health Care,Health Care Supplies,2016-09-23,1958,San Ramon, California
CPRT,Copart,Industrials,Diversified Support Services,2018-07-02,1982,Dallas, Texas
GLW,Corning,Information Technology,Electronic Components,,1851,Corning, New York
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03,2019,Wilmington, Delaware
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,1993-10-01,1976,Issaquah, Washington
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2008-06-23,2021 (1989),Houston, Texas
CCI,Crown Castle,Real Estate,Specialized REITs,2012-03-14,1994,Houston, Texas
CSX,CSX,Industrials,Railroads,1967-09-30,1980,Jacksonville, Florida
CMI,Cummins,Industrials,Industrial Machinery,1965-03-31,1919,Columbus, Indiana
CVS,CVS Health,Health Care,Health Care Services,1957-03-04,1996,Woonsocket, Rhode Island
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2005-06-22,1978,Arlington, Texas
DHR,Danaher,Health Care,Health Care Equipment,,1969,Washington, D.C.
DRI,Darden,Consumer Discretionary,Restaurants,,1938,Orlando, Florida
DVA,DaVita,Health Care,Health Care Facilities,2008-07-31,1979,Denver, Colorado
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,1957-03-04,1837,Moline, Illinois
DAL,Delta Air Lines,Industrials,Airlines,2013-09-11,1929,Atlanta, Georgia
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008-11-14,2016 (1969),Charlotte, North Carolina
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2000-08-30,1971,Oklahoma City, Oklahoma
DXCM,DexCom,Health Care,Health Care Equipment,2020-05-12,1999,San Diego, California
FANG,Diamondback,Energy,Oil & Gas Exploration & Production,2018-12-03,2007,Midland, Texas
DLR,Digital Realty,Real Estate,Specialized REITs,2016-05-18,2004,Austin, Texas
DFS,Discover,Financials,Consumer Finance,2007-07-02,1985,Riverwoods, Illinois
DISCA,Discovery (Series A),Communication Services,Broadcasting,2010-03-01,1985,New York City, New York
DISCK,Discovery (Series C),Communication Services,Broadcasting,2014-08-07,1985,New York City, New York
DISH,Dish,Communication Services,Cable & Satellite,2017-03-13,1980,Meridian, Colorado
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2012-12-03,1939,Goodlettsville, Tennessee
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2011-12-19,1986,Chesapeake, Virginia
D,Dominion Energy,Utilities,Electric Utilities,,1983,Richmond, Virginia
DPZ,Domino's,Consumer Discretionary,Restaurants,2020-05-12,1960,Ann Arbor, Michigan
DOV,Dover,Industrials,Industrial Machinery,1985-10-31,1955,Downers Grove, Illinois
DOW,Dow,Materials,Commodity Chemicals,2019-04-01,2019,Midland, Michigan
DTE,DTE,Utilities,Multi-Utilities,1957-03-04,1995,Detroit, Michigan
DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30,1904,Charlotte, North Carolina
DRE,Duke Realty,Real Estate,Industrial REITs,2017-07-26,1972,Indianapolis, Indiana
DD,DuPont,Materials,Specialty Chemicals,2019-04-02,2017,Wilmington, Delaware
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017-04-04,2017,Tysons Corner, Virginia
EMN,Eastman,Materials,Diversified Chemicals,1994-01-01,1920,Kingsport, Tennessee
ETN,Eaton,Industrials,Electrical Components & Equipment,,1911,Dublin, Ireland
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,2002-07-22,1995,San Jose, California
ECL,Ecolab,Materials,Specialty Chemicals,1989-01-31,1923,Saint Paul, Minnesota
EIX,Edison International,Utilities,Electric Utilities,1957-03-04,1886,Rosemead, California
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01,1958,Irvine, California
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002-07-22,1982,Redwood City, California
EMR,Emerson,Industrials,Electrical Components & Equipment,1965-03-31,1890,Ferguson, Missouri
ENPH,Enphase,Information Technology,Electronic Components,2021-01-07,2006,Fremont, California
ETR,Entergy,Utilities,Electric Utilities,1957-03-04,1913,New Orleans, Louisiana
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000-11-02,1999,Houston, Texas
EPAM,EPAM,Information Technology,IT Consulting & Other Services,2021-12-14,1993,Newtown, Pennsylvania
EFX,Equifax,Industrials,Research & Consulting Services,1997-06-19,1899,Atlanta, Georgia
EQIX,Equinix,Real Estate,Specialized REITs,2015-03-20,1998,Redwood City, California
EQR,Equity Residential,Real Estate,Residential REITs,2001-12-03,1969,Chicago, Illinois
ESS,Essex,Real Estate,Residential REITs,2014-04-02,1971,San Mateo, California
EL,Estée Lauder Companies,Consumer Staples,Personal Products,2006-01-05,1946,New York City, New York
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,2020-09-21,2005,New York City, New York
RE,Everest,Financials,Reinsurance,2017-06-19,1973,Hamilton, Bermuda
EVRG,Evergy,Utilities,Electric Utilities,2018-06-05,1909,Kansas City, Missouri
ES,Eversource,Utilities,Multi-Utilities,,1966,Hartford, Connecticut
EXC,Exelon,Utilities,Multi-Utilities,1957-03-04,2000,Chicago, Illinois
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,2007-10-02,1996,Seattle, Washington
EXPD,Expeditors,Industrials,Air Freight & Logistics,2007-10-10,1979,Seattle, Washington
EXR,Extra Space Storage,Real Estate,Specialized REITs,2016-01-19,1977,Salt Lake City, Utah
XOM,ExxonMobil,Energy,Integrated Oil & Gas,1957-03-04,1999,Irving, Texas
FFIV,F5,Information Technology,Communications Equipment,2010-12-20,1996,Seattle, Washington
FDS,FactSet,Financials,Financial Exchanges & Data,2021-12-20,1978,Norwalk, Connecticut
FAST,Fastenal,Industrials,Building Products,2008-09-15,1967,Winona, Minnesota
FRT,Federal Realty,Real Estate,Retail REITs,2016-02-01,1962,Rockville, Maryland
FDX,FedEx,Industrials,Air Freight & Logistics,1980-12-31,1971,Memphis, Tennessee
FITB,Fifth Third Bancorp,Financials,Regional Banks,,1858,Cincinnati, Ohio
FRC,First Republic,Financials,Regional Banks,2019-01-02,1985,San Francisco, California
FE,FirstEnergy,Utilities,Electric Utilities,,1997,Akron, Ohio
FIS,FIS,Information Technology,Data Processing & Outsourced Services,2006-11-10,1968,Jacksonville, Florida
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,2001-04-02,1984,Brookfield, Wisconsin
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,2018-06-20,2000,Norcross, Georgia
FMC,FMC,Materials,Fertilizers & Agricultural Chemicals,2009-08-19,1883,Philadelphia, Pennsylvania
F,Ford,Consumer Discretionary,Automobile Manufacturers,1957-03-04,1903,Dearborn, Michigan
FTNT,Fortinet,Information Technology,Systems Software,2018-10-11,2000,Sunnyvale, California
FTV,Fortive,Industrials,Industrial Machinery,2016-07-01,2016,Everett, Washington
FBHS,Fortune Brands,Industrials,Building Products,2016-06-22,2011 (1969),Deerfield, Illinois
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,2013-07-01,2019,New York City, New York
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,2015-09-18,2019,New York City, New York
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,1947,San Mateo, California
FCX,Freeport-McMoRan,Materials,Copper,,1912,Phoenix, Arizona
GPS,Gap,Consumer Discretionary,Apparel Retail,1986-08-31,1969,San Francisco, California
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,2012-12-12,1989,Schaffhausen, Switzerland
IT,Gartner,Information Technology,IT Consulting & Other Services,2017-04-05,1979,Stamford, Connecticut
GE,GE,Industrials,Industrial Conglomerates,,1892,Boston, Massachusetts
GNRC,Generac,Industrials,Electrical Components & Equipment,2021-03-22,1959,Waukesha, Wisconsin
GD,General Dynamics,Industrials,Aerospace & Defense,1957-03-04,1899,Falls Church, Virginia
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1969-03-31,1856,Golden Valley, Minnesota
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,1973-12-31,1925,Atlanta, Georgia
GILD,Gilead Sciences,Health Care,Biotechnology,2004-07-01,1987,Foster City, California
GL,Globe Life,Financials,Life & Health Insurance,1989-04-30,1900,McKinney, Texas
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,2016-04-25,2000,Atlanta, Georgia
GM,GM,Consumer Discretionary,Automobile Manufacturers,2013-06-06,1908,Detroit, Michigan
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,2002-07-22,1869,New York City, New York
GWW,Grainger,Industrials,Industrial Machinery,1981-06-30,1927,Lake Forest, Illinois
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1957-03-04,1919,Houston, Texas
HIG,The Hartford,Financials,Property & Casualty Insurance,1957-03-04,1810,Hartford, Connecticut
HAS,Hasbro,Consumer Discretionary,Leisure Products,1984-09-30,1923,Pawtucket, Rhode Island
HCA,HCA Healthcare,Health Care,Health Care Facilities,2015-01-27,1968,Nashville, Tennessee
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,2008-03-31,1985,Long Beach, California
HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17,1932,Melville, New York
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,1957-03-04,1894,Hershey, Pennsylvania
HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31,1919,New York City, New York
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,2015,Houston, Texas
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19,1919,Tysons Corner, Virginia
HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30,1985,Marlborough, Massachusetts
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1988-03-31,1978,Atlanta, Georgia
HON,Honeywell,Industrials,Industrial Conglomerates,1964-03-31,1906,Charlotte, North Carolina
HRL,Hormel,Consumer Staples,Packaged Foods & Meats,2009-03-04,1891,Austin, Minnesota
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20,1993,Bethesda, Maryland
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1964-03-31,2016,Pittsburgh, Pennsylvania
HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,1939 (2015),Palo Alto, California
HUM,Humana,Health Care,Managed Health Care,,1961,Louisville, Kentucky
HBAN,Huntington Bancshares,Financials,Regional Banks,,1866,Columbus," Ohio; Detroit, Michigan"
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03,2011,Newport News, Virginia
IEX,IDEX Corporation,Industrials,Industrial Machinery,2019-08-09,1988,Lake Forest, Illinois
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05,1983,Westbrook, Maine
INFO,IHS Markit,Industrials,Research & Consulting Services,2017-06-02,1959,London, England
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28,1912,Glenview, Illinois
ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015-11-19,1998,San Diego, California
INCY,Incyte,Health Care,Biotechnology,2017-02-28,1991,Wilmington, Delaware
IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03,1859,Davidson, North Carolina
INTC,Intel,Information Technology,Semiconductors,1976-12-31,1968,Santa Clara, California
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,2000,Atlanta, Georgia
IBM,IBM,Information Technology,IT Consulting & Other Services,1957-03-04,1911,Armonk, New York
IP,International Paper,Materials,Paper Packaging,1957-03-04,1898,Memphis, Tennessee
IPG,Interpublic Group,Communication Services,Advertising,1992-10-01,1961 (1930),New York City, New York
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31,1958 (1889),New York City, New York
INTU,Intuit,Information Technology,Application Software,2000-12-05,1983,Mountain View, California
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2008-06-02,1995,Sunnyvale, California
IVZ,Invesco,Financials,Asset Management & Custody Banks,2008-08-21,1935,Atlanta, Georgia
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,2018-03-07,1990,Oxford, Massachusetts
IQV,IQVIA,Health Care,Life Sciences Tools & Services,2017-08-29,1982,Durham, North Carolina
IRM,Iron Mountain,Real Estate,Specialized REITs,2009-01-06,1951,Boston, Massachusetts
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,2018-11-13,1976,Monett, Missouri
J,Jacobs Engineering Group,Industrials,Construction & Engineering,2007-10-26,1947,Dallas, Texas
JBHT,J. B. Hunt,Industrials,Trucking,2015-07-01,1961,Lowell, Arkansas
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,2008-11-06,1897,Orrville, Ohio
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30,1886,New Brunswick, New Jersey
JCI,Johnson Controls,Industrials,Building Products,2010-08-27,1885,Cork, Ireland
JPM,JPMorgan Chase,Financials,Diversified Banks,1975-06-30,2000 (1799 / 1871),New York City, New York
JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02,1996,Sunnyvale, California
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,1989-09-11,1906,Battle Creek, Michigan
KEY,KeyCorp,Financials,Regional Banks,1994-03-01,1825,Cleveland, Ohio
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2018-11-06,2014,Santa Rosa, California
KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04,1872,Irving, Texas
KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04,1958,New Hyde Park, New York
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25,1997,Houston, Texas
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,,1975/1977 (1997),Milpitas, California
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015-07-06,2015 (1869),Chicago," Illinois; Pittsburgh, Pennsylvania"
KR,Kroger,Consumer Staples,Food Retail,1957-03-04,1883,Cincinnati, Ohio
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,2008-09-22,2019 (1895),Melbourne, Florida
LH,LabCorp,Health Care,Health Care Services,2004-11-01,1978,Burlington, North Carolina
LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29,1980,Fremont, California
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2018-12-03,2016 (1950),Eagle, Idaho
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03,1988,Las Vegas, Nevada
LDOS,Leidos,Industrials,Diversified Support Services,2019-08-09,1969,Reston, Virginia
LEN,Lennar,Consumer Discretionary,Homebuilding,2005-10-04,1954,Miami, Florida
LLY,Eli Lilly,Health Care,Pharmaceuticals,1970-12-31,1876,Indianapolis, Indiana
LNC,Lincoln National,Financials,Multi-line Insurance,1976-06-30,1905,Radnor, Pennsylvania
LIN,Linde,Materials,Industrial Gases,1992-07-01,1879,Guildford, England
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23,2010,Beverly Hills, California
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23,1998,Chicago, Illinois
LMT,Lockheed Martin,Industrials,Aerospace & Defense,1984-07-31,1995,Bethesda, Maryland
L,Loews Corporation,Financials,Multi-line Insurance,,1959,New York City, New York
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1984-02-29,1904/1946/1959,Mooresville, North Carolina
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,1999-03-25,1983 (1877),Monroe, Louisiana
LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05,2007,Rotterdam, Netherlands
MTB,M&T Bank,Financials,Regional Banks,2004-02-23,1856,Buffalo, New York
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,1991-05-01,1887,Houston, Texas
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01,2009 (1887),Findlay, Ohio
MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01,2000,New York City, New York
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1927,Bethesda, Maryland
MMC,Marsh & McLennan,Financials,Insurance Brokers,1987-08-31,1905,New York City, New York
MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02,1993,Raleigh, North Carolina
MAS,Masco,Industrials,Building Products,1981-06-30,1929,Livonia, Michigan
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,2008-07-18,1966,Harrison, New York
MTCH,Match Group,Communication Services,Interactive Media & Services,2021-09-20,1986,Dallas, Texas
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2003-03-20,1889,Hunt Valley, Maryland
MCD,McDonald's,Consumer Discretionary,Restaurants,1970-06-30,1940,Chicago, Illinois
MCK,McKesson Corporation,Health Care,Health Care Distributors,,1833,Irving, Texas
MDT,Medtronic,Health Care,Health Care Equipment,1986-10-31,1949,Dublin, Ireland
MRK,Merck,Health Care,Pharmaceuticals,1957-03-04,1891,Kenilworth, New Jersey
FB,Meta Platforms,Communication Services,Interactive Media & Services,2013-12-23,2004,Menlo Park, California
MET,MetLife,Financials,Life & Health Insurance,,1868,New York City, New York
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06,1945,Columbus, Ohio
